model,order,subject,p_c,BIC
hmm+full,1,6,0.23769137955820618,-167.58281706268255
hmm+full,1,7,0.5845171591102248,-139.7652241909487
hmm+full,1,8,0.9302339269199784,-177.67034308708162
hmm+full,1,9,0.5857732075088602,-173.19791076940376
hmm+full,1,10,0.9801701402458438,-152.32403195691657
hmm+full,1,11,0.9223579052255196,-186.7199701784831
hmm+full,1,13,0.33163488797275686,-125.45293075182346
hmm+full,1,14,0.026979757079898636,-165.42540374665148
hmm+full,1,15,0.2555606245557174,-153.22150887483446
hmm+full,1,16,0.46917390487702715,-156.12916378132698
hmm+full,1,17,0.9143242290766667,-179.10634569034366
hmm+full,1,18,0.2570706052928582,-175.02770708957001
hmm+full,1,19,0.4838334178733772,-164.74424332354238
hmm+full,1,20,0.47410456267413925,-194.76061935393653
hmm+full,1,21,0.1430009177852637,-116.08671890820676
hmm+full,1,22,0.47731255654718274,-144.8716638980645
hmm+full,1,23,0.590516735439939,-200.72611466686493
hmm+full,1,24,0.4409885282163334,-162.13626404460317
hmm+full,1,25,0.32598476633575013,-175.51577964227135
hmm+full,1,26,0.17069002509653397,-163.5845754603672
hmm+full,1,27,0.5034126893216966,-173.15403357448264
hmm+full,1,28,0.05644726152957524,-163.4048115682646
hmm+full,1,29,0.22683279227705144,-213.81658429138696
hmm+full,1,30,0.16591607181608625,-158.75872009379276
hmm+full,1,31,0.7174105340719212,-186.83333120534144
hmm+full,1,32,0.6036395445658828,-202.1369871487069
hmm+full,1,33,0.07384652334256037,-137.37208160468518
hmm+full,1,36,0.4892803841425488,-155.0867750713944
hmm+full,1,37,0.9807637750367918,-161.3013395432627
hmm+full,1,38,0.5594653576510699,-171.4990148582107
hmm+full,1,39,0.5847954409232153,-110.05679217507506
hmm+full,1,41,0.7020786227182801,-142.75615785805485
hmm+full,1,42,0.7768932304831715,-132.68216661963118
hmm+full,1,43,0.5389292736216967,-143.66929607477647
hmm+full,1,44,0.892111236867796,-124.78240183178437
hmm+full,0,6,0.20501985372754428,-169.1745129409862
hmm+full,0,7,0.7617132990832816,-135.81523626967888
hmm+full,0,8,0.8789431459792799,-169.92863532675665
hmm+full,0,9,0.6624597637779991,-155.04817107821378
hmm+full,0,10,0.7162455649150397,-147.57270533855572
hmm+full,0,11,0.02514753460709973,-186.370686451163
hmm+full,0,13,0.5837514215057222,-129.33704337281034
hmm+full,0,14,0.493063047215169,-163.67298831934727
hmm+full,0,15,0.605964819921696,-149.59644676264338
hmm+full,0,16,0.15233108597355938,-153.66221968590912
hmm+full,0,17,0.4249952394925376,-164.13282933416752
hmm+full,0,18,0.7246812188169731,-171.4395479821596
hmm+full,0,19,0.9727273136108853,-156.3725317899642
hmm+full,0,20,0.47704833704520067,-187.69481767719384
hmm+full,0,21,0.8224705292426489,-118.82992552132153
hmm+full,0,22,0.8797716374934466,-138.59348802465453
hmm+full,0,23,0.031988283899980874,-186.5018079373181
hmm+full,0,24,0.9791260571734428,-156.88948971927476
hmm+full,0,25,0.36223622146346024,-169.0634462016228
hmm+full,0,26,0.8778930675276755,-163.062128930602
hmm+full,0,27,0.757796076576772,-165.4830129583206
hmm+full,0,28,0.08065339170158481,-162.35040571132672
hmm+full,0,29,0.7736615972062589,-216.0533109710318
hmm+full,0,30,0.3690254200355817,-145.02168076461516
hmm+full,0,31,0.6372270014260112,-181.5159256074215
hmm+full,0,32,0.5376288606388707,-197.14482313100046
hmm+full,0,33,0.979623509494247,-137.09570774093922
hmm+full,0,36,0.20770595813356574,-154.8306827050945
hmm+full,0,37,0.788366407116404,-161.6150428756813
hmm+full,0,38,0.2829726878167369,-174.05568996495228
hmm+full,0,39,0.7596629896842698,-109.79766205691598
hmm+full,0,41,0.6517036714408695,-142.8602732240515
hmm+full,0,42,0.9823239831491055,-130.36384445094157
hmm+full,0,43,0.10383041472217691,-132.00345949448396
hmm+full,0,44,0.9968350989456729,-125.22793853318494
